# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3334	            Omega	  1.67245	0.00000e+00	4	1	 -3	0	0	0	 -1	  1	3.56854e-07
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    8.72239e-02	    1.67245e+00	    8.51919e-07	    8.61307e-07	    6.41115e-09	    1.81747e-08	    6.48652e-09	    1.50913e-06	    1.53321e-06	    9.90440e-06	    1.00502e-05	    7.39527e-08	    1.52365e-07	    7.47978e-08
    9.08778e-02	    1.67245e+00	    8.86424e-07	    8.96191e-07	    7.24145e-09	    1.94810e-08	    7.32657e-09	    1.56966e-06	    1.59470e-06	    1.03067e-05	    1.04584e-05	    8.01716e-08	    1.58476e-07	    8.10876e-08
    9.45342e-02	    1.67245e+00	    9.20808e-07	    9.30952e-07	    8.13985e-09	    2.08537e-08	    8.23551e-09	    1.62990e-06	    1.65591e-06	    1.07078e-05	    1.08654e-05	    8.66322e-08	    1.64824e-07	    8.76219e-08
    9.81930e-02	    1.67245e+00	    9.55066e-07	    9.65586e-07	    9.10891e-09	    2.22953e-08	    9.21594e-09	    1.68985e-06	    1.71681e-06	    1.11076e-05	    1.12710e-05	    9.33333e-08	    1.71408e-07	    9.43993e-08
    1.01854e-01	    1.67245e+00	    9.89193e-07	    1.00009e-06	    1.01511e-08	    2.38081e-08	    1.02704e-08	    1.74949e-06	    1.77740e-06	    1.15060e-05	    1.16752e-05	    1.00273e-07	    1.78226e-07	    1.01418e-07
    1.05519e-01	    1.67245e+00	    1.02319e-06	    1.03445e-06	    1.12691e-08	    2.53947e-08	    1.14014e-08	    1.80880e-06	    1.83767e-06	    1.19030e-05	    1.20780e-05	    1.07450e-07	    1.85278e-07	    1.08677e-07
    1.09185e-01	    1.67245e+00	    1.05704e-06	    1.06867e-06	    1.24652e-08	    2.70575e-08	    1.26116e-08	    1.86779e-06	    1.89760e-06	    1.22985e-05	    1.24793e-05	    1.14863e-07	    1.92561e-07	    1.16174e-07
    1.12855e-01	    1.67245e+00	    1.09074e-06	    1.10275e-06	    1.37419e-08	    2.87989e-08	    1.39033e-08	    1.92643e-06	    1.95718e-06	    1.26926e-05	    1.28791e-05	    1.22510e-07	    2.00073e-07	    1.23908e-07
    1.16528e-01	    1.67245e+00	    1.12430e-06	    1.13667e-06	    1.51017e-08	    3.06212e-08	    1.52790e-08	    1.98473e-06	    2.01640e-06	    1.30850e-05	    1.32772e-05	    1.30389e-07	    2.07814e-07	    1.31877e-07
    1.20204e-01	    1.67245e+00	    1.15770e-06	    1.17044e-06	    1.65471e-08	    3.25269e-08	    1.67413e-08	    2.04266e-06	    2.07526e-06	    1.34759e-05	    1.36737e-05	    1.38499e-07	    2.15780e-07	    1.40079e-07
    1.23883e-01	    1.67245e+00	    1.19095e-06	    1.20405e-06	    1.80803e-08	    3.45181e-08	    1.82925e-08	    2.10021e-06	    2.13374e-06	    1.38650e-05	    1.40686e-05	    1.46837e-07	    2.23971e-07	    1.48512e-07
    1.27566e-01	    1.67245e+00	    1.22403e-06	    1.23749e-06	    1.97038e-08	    3.65973e-08	    1.99350e-08	    2.15738e-06	    2.19182e-06	    1.42525e-05	    1.44617e-05	    1.55402e-07	    2.32385e-07	    1.57174e-07
    1.31252e-01	    1.67245e+00	    1.25694e-06	    1.27076e-06	    2.14198e-08	    3.87666e-08	    2.16711e-08	    2.21416e-06	    2.24951e-06	    1.46382e-05	    1.48529e-05	    1.64191e-07	    2.41019e-07	    1.66063e-07
    1.34941e-01	    1.67245e+00	    1.28968e-06	    1.30385e-06	    2.32308e-08	    4.10284e-08	    2.35033e-08	    2.27052e-06	    2.30678e-06	    1.50221e-05	    1.52424e-05	    1.73204e-07	    2.49871e-07	    1.75178e-07
    1.38634e-01	    1.67245e+00	    1.32224e-06	    1.33677e-06	    2.51389e-08	    4.33849e-08	    2.54337e-08	    2.32648e-06	    2.36362e-06	    1.54041e-05	    1.56299e-05	    1.82437e-07	    2.58940e-07	    1.84516e-07
    1.42331e-01	    1.67245e+00	    1.35461e-06	    1.36950e-06	    2.71465e-08	    4.58381e-08	    2.74647e-08	    2.38200e-06	    2.42004e-06	    1.57842e-05	    1.60155e-05	    1.91889e-07	    2.68224e-07	    1.94075e-07
    1.46031e-01	    1.67245e+00	    1.38681e-06	    1.40204e-06	    2.92557e-08	    4.83903e-08	    2.95986e-08	    2.43709e-06	    2.47601e-06	    1.61624e-05	    1.63991e-05	    2.01557e-07	    2.77719e-07	    2.03853e-07
    1.49736e-01	    1.67245e+00	    1.41880e-06	    1.43438e-06	    3.14687e-08	    5.10437e-08	    3.18375e-08	    2.49172e-06	    2.53152e-06	    1.65385e-05	    1.67807e-05	    2.11439e-07	    2.87425e-07	    2.13847e-07
    1.53444e-01	    1.67245e+00	    1.45061e-06	    1.46653e-06	    3.37878e-08	    5.38002e-08	    3.41836e-08	    2.54590e-06	    2.58657e-06	    1.69126e-05	    1.71602e-05	    2.21533e-07	    2.97338e-07	    2.24055e-07
    1.57157e-01	    1.67245e+00	    1.48221e-06	    1.49847e-06	    3.62149e-08	    5.66620e-08	    3.66391e-08	    2.59961e-06	    2.64114e-06	    1.72846e-05	    1.75375e-05	    2.31837e-07	    3.07457e-07	    2.34475e-07
