# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3122	           Lambda	  1.11568	0.00000e+00	2	1	 -1	0	0	0	  0	  1	1.91251e-05
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    8.72239e-02	    1.11568e+00	    1.55627e-04	    1.79362e-04	    1.37686e-06	    2.29402e-05	    1.60296e-06	    1.99734e-04	    2.44972e-04	    1.49472e-03	    1.75758e-03	    1.45747e-05	    1.47040e-04	    1.68928e-05
    9.08778e-02	    1.11568e+00	    1.61798e-04	    1.86465e-04	    1.55383e-06	    2.39702e-05	    1.80891e-06	    2.07506e-04	    2.54502e-04	    1.55429e-03	    1.82752e-03	    1.57871e-05	    1.47955e-04	    1.82971e-05
    9.45342e-02	    1.11568e+00	    1.67931e-04	    1.93524e-04	    1.74503e-06	    2.50089e-05	    2.03142e-06	    2.15211e-04	    2.63950e-04	    1.61354e-03	    1.89707e-03	    1.70444e-05	    1.48904e-04	    1.97534e-05
    9.81930e-02	    1.11568e+00	    1.74024e-04	    2.00536e-04	    1.95095e-06	    2.60566e-05	    2.27103e-06	    2.22847e-04	    2.73314e-04	    1.67244e-03	    1.96620e-03	    1.83461e-05	    1.49886e-04	    2.12610e-05
    1.01854e-01	    1.11568e+00	    1.80077e-04	    2.07499e-04	    2.17207e-06	    2.71136e-05	    2.52830e-06	    2.30413e-04	    2.82590e-04	    1.73099e-03	    2.03490e-03	    1.96916e-05	    1.50899e-04	    2.28192e-05
    1.05519e-01	    1.11568e+00	    1.86087e-04	    2.14413e-04	    2.40885e-06	    2.81801e-05	    2.80377e-06	    2.37904e-04	    2.91776e-04	    1.78917e-03	    2.10316e-03	    2.10805e-05	    1.51945e-04	    2.44273e-05
    1.09185e-01	    1.11568e+00	    1.92054e-04	    2.21276e-04	    2.66174e-06	    2.92565e-05	    3.09797e-06	    2.45320e-04	    3.00869e-04	    1.84698e-03	    2.17096e-03	    2.25120e-05	    1.53022e-04	    2.60847e-05
    1.12855e-01	    1.11568e+00	    1.97976e-04	    2.28085e-04	    2.93121e-06	    3.03429e-05	    3.41142e-06	    2.52658e-04	    3.09866e-04	    1.90439e-03	    2.23829e-03	    2.39855e-05	    1.54130e-04	    2.77905e-05
    1.16528e-01	    1.11568e+00	    2.03851e-04	    2.34840e-04	    3.21768e-06	    3.14396e-05	    3.74462e-06	    2.59916e-04	    3.18764e-04	    1.96141e-03	    2.30513e-03	    2.55006e-05	    1.55268e-04	    2.95441e-05
    1.20204e-01	    1.11568e+00	    2.09679e-04	    2.41539e-04	    3.52158e-06	    3.25469e-05	    4.09805e-06	    2.67091e-04	    3.27561e-04	    2.01801e-03	    2.37146e-03	    2.70563e-05	    1.56436e-04	    3.13447e-05
    1.23883e-01	    1.11568e+00	    2.15457e-04	    2.48180e-04	    3.84332e-06	    3.36648e-05	    4.47220e-06	    2.74181e-04	    3.36253e-04	    2.07418e-03	    2.43728e-03	    2.86522e-05	    1.57633e-04	    3.31915e-05
    1.27566e-01	    1.11568e+00	    2.21186e-04	    2.54761e-04	    4.18330e-06	    3.47938e-05	    4.86753e-06	    2.81185e-04	    3.44838e-04	    2.12992e-03	    2.50258e-03	    3.02876e-05	    1.58858e-04	    3.50837e-05
    1.31252e-01	    1.11568e+00	    2.26862e-04	    2.61282e-04	    4.54192e-06	    3.59338e-05	    5.28448e-06	    2.88099e-04	    3.53314e-04	    2.18521e-03	    2.56732e-03	    3.19616e-05	    1.60111e-04	    3.70204e-05
    1.34941e-01	    1.11568e+00	    2.32486e-04	    2.67740e-04	    4.91955e-06	    3.70853e-05	    5.72348e-06	    2.94921e-04	    3.61678e-04	    2.24003e-03	    2.63151e-03	    3.36737e-05	    1.61391e-04	    3.90007e-05
    1.38634e-01	    1.11568e+00	    2.38055e-04	    2.74134e-04	    5.31656e-06	    3.82482e-05	    6.18496e-06	    3.01651e-04	    3.69927e-04	    2.29439e-03	    2.69513e-03	    3.54230e-05	    1.62698e-04	    4.10239e-05
    1.42331e-01	    1.11568e+00	    2.43569e-04	    2.80463e-04	    5.73329e-06	    3.94229e-05	    6.66932e-06	    3.08285e-04	    3.78059e-04	    2.34826e-03	    2.75816e-03	    3.72088e-05	    1.64031e-04	    4.30890e-05
    1.46031e-01	    1.11568e+00	    2.49026e-04	    2.86725e-04	    6.17010e-06	    4.06094e-05	    7.17694e-06	    3.14822e-04	    3.86071e-04	    2.40163e-03	    2.82059e-03	    3.90304e-05	    1.65389e-04	    4.51951e-05
    1.49736e-01	    1.11568e+00	    2.54425e-04	    2.92918e-04	    6.62729e-06	    4.18079e-05	    7.70820e-06	    3.21259e-04	    3.93961e-04	    2.45450e-03	    2.88240e-03	    4.08869e-05	    1.66771e-04	    4.73413e-05
    1.53444e-01	    1.11568e+00	    2.59764e-04	    2.99042e-04	    7.10519e-06	    4.30185e-05	    8.26345e-06	    3.27596e-04	    4.01727e-04	    2.50685e-03	    2.94360e-03	    4.27775e-05	    1.68177e-04	    4.95266e-05
    1.57157e-01	    1.11568e+00	    2.65043e-04	    3.05094e-04	    7.60409e-06	    4.42414e-05	    8.84302e-06	    3.33829e-04	    4.09366e-04	    2.55868e-03	    3.00415e-03	    4.47015e-05	    1.69607e-04	    5.17500e-05
    1.60874e-01	    1.11568e+00	    2.70260e-04	    3.11074e-04	    8.12427e-06	    4.54767e-05	    9.44724e-06	    3.39957e-04	    4.16877e-04	    2.60996e-03	    3.06405e-03	    4.66580e-05	    1.71058e-04	    5.40106e-05
    1.64595e-01	    1.11568e+00	    2.75415e-04	    3.16980e-04	    8.66601e-06	    4.67244e-05	    1.00764e-05	    3.45979e-04	    4.24256e-04	    2.66070e-03	    3.12329e-03	    4.86461e-05	    1.72531e-04	    5.63073e-05
    1.68320e-01	    1.11568e+00	    2.80505e-04	    3.22811e-04	    9.22956e-06	    4.79847e-05	    1.07308e-05	    3.51892e-04	    4.31502e-04	    2.71087e-03	    3.18185e-03	    5.06649e-05	    1.74025e-04	    5.86391e-05
    1.72050e-01	    1.11568e+00	    2.85531e-04	    3.28565e-04	    9.81515e-06	    4.92577e-05	    1.14107e-05	    3.57695e-04	    4.38613e-04	    2.76048e-03	    3.23971e-03	    5.27137e-05	    1.75539e-04	    6.10050e-05
    1.75785e-01	    1.11568e+00	    2.90490e-04	    3.34241e-04	    1.04230e-05	    5.05433e-05	    1.21164e-05	    3.63386e-04	    4.45586e-04	    2.80951e-03	    3.29688e-03	    5.47914e-05	    1.77073e-04	    6.34039e-05
    1.79525e-01	    1.11568e+00	    2.95381e-04	    3.39837e-04	    1.10533e-05	    5.18417e-05	    1.28481e-05	    3.68963e-04	    4.52420e-04	    2.85794e-03	    3.35334e-03	    5.68973e-05	    1.78624e-04	    6.58347e-05
    1.83269e-01	    1.11568e+00	    3.00204e-04	    3.45353e-04	    1.17064e-05	    5.31529e-05	    1.36059e-05	    3.74425e-04	    4.59113e-04	    2.90577e-03	    3.40906e-03	    5.90302e-05	    1.80194e-04	    6.82964e-05
    1.87019e-01	    1.11568e+00	    3.04958e-04	    3.50788e-04	    1.23822e-05	    5.44769e-05	    1.43902e-05	    3.79771e-04	    4.65662e-04	    2.95300e-03	    3.46405e-03	    6.11895e-05	    1.81780e-04	    7.07879e-05
    1.90773e-01	    1.11568e+00	    3.09641e-04	    3.56139e-04	    1.30811e-05	    5.58137e-05	    1.52010e-05	    3.84999e-04	    4.72067e-04	    2.99960e-03	    3.51829e-03	    6.33739e-05	    1.83382e-04	    7.33080e-05
    1.94533e-01	    1.11568e+00	    3.14252e-04	    3.61407e-04	    1.38031e-05	    5.71634e-05	    1.60385e-05	    3.90107e-04	    4.78324e-04	    3.04557e-03	    3.57178e-03	    6.55827e-05	    1.84999e-04	    7.58555e-05
    1.98298e-01	    1.11568e+00	    3.18791e-04	    3.66589e-04	    1.45484e-05	    5.85259e-05	    1.69030e-05	    3.95095e-04	    4.84434e-04	    3.09091e-03	    3.62449e-03	    6.78149e-05	    1.86631e-04	    7.84294e-05
    2.02068e-01	    1.11568e+00	    3.23256e-04	    3.71684e-04	    1.53171e-05	    5.99011e-05	    1.77943e-05	    3.99960e-04	    4.90393e-04	    3.13559e-03	    3.67641e-03	    7.00694e-05	    1.88276e-04	    8.10285e-05
    2.05844e-01	    1.11568e+00	    3.27646e-04	    3.76692e-04	    1.61092e-05	    6.12891e-05	    1.87128e-05	    4.04702e-04	    4.96201e-04	    3.17962e-03	    3.72755e-03	    7.23452e-05	    1.89934e-04	    8.36516e-05
    2.09626e-01	    1.11568e+00	    3.31961e-04	    3.81612e-04	    1.69250e-05	    6.26898e-05	    1.96584e-05	    4.09319e-04	    5.01856e-04	    3.22298e-03	    3.77788e-03	    7.46415e-05	    1.91603e-04	    8.62974e-05
    2.13413e-01	    1.11568e+00	    3.36200e-04	    3.86442e-04	    1.77643e-05	    6.41031e-05	    2.06312e-05	    4.13810e-04	    5.07356e-04	    3.26567e-03	    3.82739e-03	    7.69570e-05	    1.93283e-04	    8.89649e-05
    2.17206e-01	    1.11568e+00	    3.40361e-04	    3.91181e-04	    1.86273e-05	    6.55289e-05	    2.16313e-05	    4.18173e-04	    5.12700e-04	    3.30768e-03	    3.87609e-03	    7.92908e-05	    1.94973e-04	    9.16528e-05
    2.21006e-01	    1.11568e+00	    3.44444e-04	    3.95828e-04	    1.95140e-05	    6.69672e-05	    2.26586e-05	    4.22409e-04	    5.17887e-04	    3.34899e-03	    3.92394e-03	    8.16419e-05	    1.96671e-04	    9.43599e-05
    2.24811e-01	    1.11568e+00	    3.48448e-04	    4.00382e-04	    2.04244e-05	    6.84178e-05	    2.37131e-05	    4.26516e-04	    5.22916e-04	    3.38960e-03	    3.97096e-03	    8.40092e-05	    1.98378e-04	    9.70849e-05
    2.28622e-01	    1.11568e+00	    3.52372e-04	    4.04843e-04	    2.13585e-05	    6.98806e-05	    2.47949e-05	    4.30492e-04	    5.27785e-04	    3.42950e-03	    4.01712e-03	    8.63917e-05	    2.00092e-04	    9.98266e-05
    2.32440e-01	    1.11568e+00	    3.56215e-04	    4.09209e-04	    2.23163e-05	    7.13554e-05	    2.59039e-05	    4.34337e-04	    5.32493e-04	    3.46869e-03	    4.06242e-03	    8.87883e-05	    2.01812e-04	    1.02584e-04
    2.36265e-01	    1.11568e+00	    3.59977e-04	    4.13480e-04	    2.32976e-05	    7.28421e-05	    2.70399e-05	    4.38050e-04	    5.37039e-04	    3.50715e-03	    4.10685e-03	    9.11979e-05	    2.03538e-04	    1.05355e-04
    2.40095e-01	    1.11568e+00	    3.63657e-04	    4.17654e-04	    2.43025e-05	    7.43406e-05	    2.82030e-05	    4.41631e-04	    5.41422e-04	    3.54488e-03	    4.15039e-03	    9.36194e-05	    2.05267e-04	    1.08139e-04
    2.43933e-01	    1.11568e+00	    3.67253e-04	    4.21731e-04	    2.53309e-05	    7.58506e-05	    2.93930e-05	    4.45078e-04	    5.45641e-04	    3.58187e-03	    4.19305e-03	    9.60517e-05	    2.07000e-04	    1.10935e-04
    2.47777e-01	    1.11568e+00	    3.70766e-04	    4.25710e-04	    2.63826e-05	    7.73720e-05	    3.06097e-05	    4.48390e-04	    5.49696e-04	    3.61811e-03	    4.23481e-03	    9.84938e-05	    2.08736e-04	    1.13741e-04
    2.51628e-01	    1.11568e+00	    3.74194e-04	    4.29591e-04	    2.74575e-05	    7.89045e-05	    3.18531e-05	    4.51568e-04	    5.53585e-04	    3.65361e-03	    4.27567e-03	    1.00945e-04	    2.10473e-04	    1.16556e-04
    2.55487e-01	    1.11568e+00	    3.77537e-04	    4.33371e-04	    2.85556e-05	    8.04479e-05	    3.31229e-05	    4.54610e-04	    5.57308e-04	    3.68834e-03	    4.31561e-03	    1.03403e-04	    2.12210e-04	    1.19379e-04
    2.59352e-01	    1.11568e+00	    3.80795e-04	    4.37052e-04	    2.96766e-05	    8.20019e-05	    3.44189e-05	    4.57515e-04	    5.60865e-04	    3.72230e-03	    4.35464e-03	    1.05867e-04	    2.13947e-04	    1.22209e-04
    2.63225e-01	    1.11568e+00	    3.83966e-04	    4.40631e-04	    3.08204e-05	    8.35663e-05	    3.57410e-05	    4.60285e-04	    5.64253e-04	    3.75550e-03	    4.39273e-03	    1.08337e-04	    2.15682e-04	    1.25043e-04
    2.67105e-01	    1.11568e+00	    3.87051e-04	    4.44109e-04	    3.19868e-05	    8.51409e-05	    3.70888e-05	    4.62917e-04	    5.67474e-04	    3.78791e-03	    4.42989e-03	    1.10812e-04	    2.17415e-04	    1.27881e-04
    2.70992e-01	    1.11568e+00	    3.90047e-04	    4.47485e-04	    3.31755e-05	    8.67253e-05	    3.84621e-05	    4.65412e-04	    5.70527e-04	    3.81954e-03	    4.46611e-03	    1.13289e-04	    2.19144e-04	    1.30722e-04
    2.74887e-01	    1.11568e+00	    3.92956e-04	    4.50757e-04	    3.43864e-05	    8.83193e-05	    3.98607e-05	    4.67769e-04	    5.73411e-04	    3.85037e-03	    4.50138e-03	    1.15768e-04	    2.20869e-04	    1.33564e-04
    2.78790e-01	    1.11568e+00	    3.95776e-04	    4.53926e-04	    3.56192e-05	    8.99225e-05	    4.12842e-05	    4.69988e-04	    5.76125e-04	    3.88041e-03	    4.53569e-03	    1.18248e-04	    2.22589e-04	    1.36405e-04
    2.82701e-01	    1.11568e+00	    3.98508e-04	    4.56992e-04	    3.68735e-05	    9.15345e-05	    4.27322e-05	    4.72069e-04	    5.78671e-04	    3.90965e-03	    4.56904e-03	    1.20727e-04	    2.24302e-04	    1.39245e-04
    2.86620e-01	    1.11568e+00	    4.01149e-04	    4.59953e-04	    3.81493e-05	    9.31551e-05	    4.42045e-05	    4.74011e-04	    5.81047e-04	    3.93808e-03	    4.60143e-03	    1.23205e-04	    2.26007e-04	    1.42083e-04
