# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       321	               K+	  0.49400	0.00000e+00	1	0	  1	0	0	0.5	  1	  1	0.000115181
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    8.72239e-02	    4.94000e-01	    4.68567e-03	    6.04209e-03	    6.53129e-05	    6.42101e-04	    8.16678e-05	    2.72737e-03	    4.09835e-03	    2.58792e-02	    3.66667e-02	    5.14052e-04	    3.90750e-03	    6.52472e-04
    9.08778e-02	    4.94000e-01	    4.85459e-03	    6.25865e-03	    7.32849e-05	    6.70607e-04	    9.16244e-05	    2.81233e-03	    4.23004e-03	    2.68153e-02	    3.79908e-02	    5.54324e-04	    3.93008e-03	    7.03483e-04
    9.45342e-02	    4.94000e-01	    5.02050e-03	    6.47119e-03	    8.18125e-05	    6.99269e-04	    1.02273e-04	    2.89411e-03	    4.35739e-03	    2.77350e-02	    3.92916e-02	    5.95695e-04	    3.95316e-03	    7.55871e-04
    9.81930e-02	    4.94000e-01	    5.18331e-03	    6.67958e-03	    9.09022e-05	    7.28084e-04	    1.13620e-04	    2.97266e-03	    4.48030e-03	    2.86380e-02	    4.05684e-02	    6.38108e-04	    3.97669e-03	    8.09560e-04
    1.01854e-01	    4.94000e-01	    5.34293e-03	    6.88373e-03	    1.00559e-04	    7.57046e-04	    1.25672e-04	    3.04791e-03	    4.59870e-03	    2.95238e-02	    4.18206e-02	    6.81505e-04	    4.00062e-03	    8.64475e-04
    1.05519e-01	    4.94000e-01	    5.49929e-03	    7.08353e-03	    1.10785e-04	    7.86148e-04	    1.38431e-04	    3.11981e-03	    4.71251e-03	    3.03920e-02	    4.30477e-02	    7.25825e-04	    4.02493e-03	    9.20537e-04
    1.09185e-01	    4.94000e-01	    5.65233e-03	    7.27890e-03	    1.21582e-04	    8.15384e-04	    1.51900e-04	    3.18832e-03	    4.82165e-03	    3.12423e-02	    4.42490e-02	    7.71009e-04	    4.04955e-03	    9.77671e-04
    1.12855e-01	    4.94000e-01	    5.80197e-03	    7.46974e-03	    1.32951e-04	    8.44746e-04	    1.66078e-04	    3.25339e-03	    4.92608e-03	    3.20744e-02	    4.54241e-02	    8.16996e-04	    4.07444e-03	    1.03580e-03
    1.16528e-01	    4.94000e-01	    5.94815e-03	    7.65598e-03	    1.44891e-04	    8.74225e-04	    1.80963e-04	    3.31500e-03	    5.02574e-03	    3.28878e-02	    4.65725e-02	    8.63725e-04	    4.09956e-03	    1.09483e-03
    1.20204e-01	    4.94000e-01	    6.09082e-03	    7.83754e-03	    1.57398e-04	    9.03811e-04	    1.96551e-04	    3.37311e-03	    5.12058e-03	    3.36823e-02	    4.76938e-02	    9.11134e-04	    4.12486e-03	    1.15470e-03
    1.23883e-01	    4.94000e-01	    6.22992e-03	    8.01434e-03	    1.70468e-04	    9.33494e-04	    2.12836e-04	    3.42770e-03	    5.21058e-03	    3.44575e-02	    4.87875e-02	    9.59161e-04	    4.15029e-03	    1.21533e-03
    1.27566e-01	    4.94000e-01	    6.36539e-03	    8.18633e-03	    1.84096e-04	    9.63261e-04	    2.29810e-04	    3.47877e-03	    5.29571e-03	    3.52133e-02	    4.98533e-02	    1.00775e-03	    4.17581e-03	    1.27663e-03
    1.31252e-01	    4.94000e-01	    6.49720e-03	    8.35345e-03	    1.98275e-04	    9.93101e-04	    2.47464e-04	    3.52629e-03	    5.37594e-03	    3.59494e-02	    5.08908e-02	    1.05682e-03	    4.20137e-03	    1.33852e-03
    1.34941e-01	    4.94000e-01	    6.62530e-03	    8.51563e-03	    2.12996e-04	    1.02300e-03	    2.65786e-04	    3.57026e-03	    5.45128e-03	    3.66656e-02	    5.18997e-02	    1.10634e-03	    4.22692e-03	    1.40093e-03
    1.38634e-01	    4.94000e-01	    6.74966e-03	    8.67284e-03	    2.28249e-04	    1.05295e-03	    2.84765e-04	    3.61069e-03	    5.52170e-03	    3.73617e-02	    5.28797e-02	    1.15622e-03	    4.25242e-03	    1.46378e-03
    1.42331e-01	    4.94000e-01	    6.87023e-03	    8.82503e-03	    2.44025e-04	    1.08293e-03	    3.04386e-04	    3.64759e-03	    5.58722e-03	    3.80375e-02	    5.38306e-02	    1.20642e-03	    4.27783e-03	    1.52699e-03
    1.46031e-01	    4.94000e-01	    6.98699e-03	    8.97217e-03	    2.60310e-04	    1.11292e-03	    3.24634e-04	    3.68096e-03	    5.64785e-03	    3.86929e-02	    5.47522e-02	    1.25687e-03	    4.30310e-03	    1.59047e-03
    1.49736e-01	    4.94000e-01	    7.09991e-03	    9.11422e-03	    2.77092e-04	    1.14292e-03	    3.45490e-04	    3.71083e-03	    5.70360e-03	    3.93277e-02	    5.56442e-02	    1.30751e-03	    4.32818e-03	    1.65416e-03
    1.53444e-01	    4.94000e-01	    7.20898e-03	    9.25116e-03	    2.94356e-04	    1.17290e-03	    3.66938e-04	    3.73721e-03	    5.75450e-03	    3.99418e-02	    5.65065e-02	    1.35828e-03	    4.35303e-03	    1.71798e-03
    1.57157e-01	    4.94000e-01	    7.31417e-03	    9.38296e-03	    3.12087e-04	    1.20285e-03	    3.88956e-04	    3.76014e-03	    5.80059e-03	    4.05352e-02	    5.73389e-02	    1.40913e-03	    4.37761e-03	    1.78185e-03
    1.60874e-01	    4.94000e-01	    7.41547e-03	    9.50962e-03	    3.30269e-04	    1.23275e-03	    4.11524e-04	    3.77965e-03	    5.84189e-03	    4.11078e-02	    5.81415e-02	    1.46000e-03	    4.40189e-03	    1.84571e-03
    1.64595e-01	    4.94000e-01	    7.51287e-03	    9.63111e-03	    3.48884e-04	    1.26259e-03	    4.34619e-04	    3.79578e-03	    5.87845e-03	    4.16596e-02	    5.89140e-02	    1.51082e-03	    4.42581e-03	    1.90947e-03
    1.68320e-01	    4.94000e-01	    7.60636e-03	    9.74745e-03	    3.67915e-04	    1.29234e-03	    4.58220e-04	    3.80856e-03	    5.91033e-03	    4.21905e-02	    5.96565e-02	    1.56155e-03	    4.44934e-03	    1.97306e-03
    1.72050e-01	    4.94000e-01	    7.69594e-03	    9.85862e-03	    3.87342e-04	    1.32200e-03	    4.82301e-04	    3.81804e-03	    5.93757e-03	    4.27005e-02	    6.03690e-02	    1.61213e-03	    4.47244e-03	    2.03643e-03
    1.75785e-01	    4.94000e-01	    7.78161e-03	    9.96463e-03	    4.07146e-04	    1.35153e-03	    5.06837e-04	    3.82428e-03	    5.96024e-03	    4.31897e-02	    6.10514e-02	    1.66251e-03	    4.49508e-03	    2.09949e-03
    1.79525e-01	    4.94000e-01	    7.86337e-03	    1.00655e-02	    4.27307e-04	    1.38092e-03	    5.31803e-04	    3.82732e-03	    5.97841e-03	    4.36581e-02	    6.17039e-02	    1.71263e-03	    4.51721e-03	    2.16219e-03
    1.83269e-01	    4.94000e-01	    7.94124e-03	    1.01612e-02	    4.47804e-04	    1.41016e-03	    5.57171e-04	    3.82723e-03	    5.99214e-03	    4.41058e-02	    6.23264e-02	    1.76245e-03	    4.53880e-03	    2.22446e-03
    1.87019e-01	    4.94000e-01	    8.01522e-03	    1.02518e-02	    4.68615e-04	    1.43922e-03	    5.82916e-04	    3.82406e-03	    6.00150e-03	    4.45327e-02	    6.29192e-02	    1.81192e-03	    4.55982e-03	    2.28624e-03
    1.90773e-01	    4.94000e-01	    8.08533e-03	    1.03373e-02	    4.89719e-04	    1.46809e-03	    6.09008e-04	    3.81788e-03	    6.00659e-03	    4.49391e-02	    6.34822e-02	    1.86098e-03	    4.58024e-03	    2.34746e-03
    1.94533e-01	    4.94000e-01	    8.15158e-03	    1.04178e-02	    5.11093e-04	    1.49674e-03	    6.35420e-04	    3.80875e-03	    6.00748e-03	    4.53250e-02	    6.40157e-02	    1.90959e-03	    4.60002e-03	    2.40806e-03
    1.98298e-01	    4.94000e-01	    8.21399e-03	    1.04932e-02	    5.32715e-04	    1.52517e-03	    6.62123e-04	    3.79674e-03	    6.00426e-03	    4.56906e-02	    6.45198e-02	    1.95771e-03	    4.61913e-03	    2.46800e-03
    2.02068e-01	    4.94000e-01	    8.27260e-03	    1.05635e-02	    5.54562e-04	    1.55334e-03	    6.89088e-04	    3.78193e-03	    5.99702e-03	    4.60360e-02	    6.49947e-02	    2.00530e-03	    4.63756e-03	    2.52721e-03
    2.05844e-01	    4.94000e-01	    8.32741e-03	    1.06290e-02	    5.76611e-04	    1.58124e-03	    7.16286e-04	    3.76439e-03	    5.98585e-03	    4.63613e-02	    6.54406e-02	    2.05230e-03	    4.65526e-03	    2.58565e-03
    2.09626e-01	    4.94000e-01	    8.37847e-03	    1.06895e-02	    5.98838e-04	    1.60886e-03	    7.43688e-04	    3.74419e-03	    5.97086e-03	    4.66667e-02	    6.58578e-02	    2.09869e-03	    4.67221e-03	    2.64326e-03
    2.13413e-01	    4.94000e-01	    8.42580e-03	    1.07451e-02	    6.21221e-04	    1.63617e-03	    7.71263e-04	    3.72141e-03	    5.95213e-03	    4.69524e-02	    6.62465e-02	    2.14442e-03	    4.68839e-03	    2.69999e-03
