# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       211	              pi+	  0.14000	0.00000e+00	1	0	  0	0	0	1	  1	  1	0.000630422
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    8.72239e-02	    1.40000e-01	    4.81389e-02	    9.42245e-02	    1.23353e-03	    2.47580e-03	    1.36732e-03	    4.22523e-03	    2.36256e-02	    1.05779e-01	    5.08215e-01	    7.19148e-03	    4.51027e-02	    8.11061e-03
    9.08778e-02	    1.40000e-01	    4.90144e-02	    9.63212e-02	    1.34981e-03	    2.62190e-03	    1.42602e-03	    3.87555e-03	    2.37987e-02	    1.07662e-01	    5.21679e-01	    7.53096e-03	    4.53261e-02	    8.49981e-03
    9.45342e-02	    1.40000e-01	    4.98082e-02	    9.82784e-02	    1.46597e-03	    2.78033e-03	    1.47613e-03	    3.49439e-03	    2.39363e-02	    1.09458e-01	    5.34491e-01	    7.85337e-03	    4.55304e-02	    8.88182e-03
    9.81930e-02	    1.40000e-01	    5.05246e-02	    1.00100e-01	    1.58086e-03	    2.95104e-03	    1.51742e-03	    3.08517e-03	    2.40429e-02	    1.11184e-01	    5.46655e-01	    8.15789e-03	    4.57139e-02	    9.25739e-03
    1.01854e-01	    1.40000e-01	    5.11678e-02	    1.01790e-01	    1.69337e-03	    3.13375e-03	    1.54989e-03	    2.65144e-03	    2.41228e-02	    1.12858e-01	    5.58173e-01	    8.44397e-03	    4.58748e-02	    9.62734e-03
    1.05519e-01	    1.40000e-01	    5.17421e-02	    1.03353e-01	    1.80247e-03	    3.32798e-03	    1.57377e-03	    2.19680e-03	    2.41799e-02	    1.14496e-01	    5.69048e-01	    8.71133e-03	    4.60116e-02	    9.99259e-03
    1.09185e-01	    1.40000e-01	    5.22518e-02	    1.04791e-01	    1.90720e-03	    3.53307e-03	    1.58948e-03	    1.72488e-03	    2.42174e-02	    1.16113e-01	    5.79284e-01	    8.95999e-03	    4.61233e-02	    1.03541e-02
    1.12855e-01	    1.40000e-01	    5.27011e-02	    1.06110e-01	    2.00672e-03	    3.74820e-03	    1.59763e-03	    1.23926e-03	    2.42385e-02	    1.17721e-01	    5.88882e-01	    9.19015e-03	    4.62090e-02	    1.07127e-02
    1.16528e-01	    1.40000e-01	    5.30940e-02	    1.07311e-01	    2.10030e-03	    3.97245e-03	    1.59898e-03	    7.43451e-04	    2.42454e-02	    1.19330e-01	    5.97847e-01	    9.40226e-03	    4.62681e-02	    1.10693e-02
    1.20204e-01	    1.40000e-01	    5.34346e-02	    1.08399e-01	    2.18732e-03	    4.20477e-03	    1.59443e-03	    2.40851e-04	    2.42404e-02	    1.20951e-01	    6.06182e-01	    9.59694e-03	    4.63001e-02	    1.14247e-02
    1.23883e-01	    1.40000e-01	    5.37267e-02	    1.09377e-01	    2.26734e-03	    4.44408e-03	    1.58497e-03	   -2.65305e-04	    2.42250e-02	    1.22589e-01	    6.13891e-01	    9.77495e-03	    4.63050e-02	    1.17795e-02
    1.27566e-01	    1.40000e-01	    5.39737e-02	    1.10248e-01	    2.34000e-03	    4.68925e-03	    1.57166e-03	   -7.71957e-04	    2.42004e-02	    1.24251e-01	    6.20980e-01	    9.93720e-03	    4.62828e-02	    1.21344e-02
    1.31252e-01	    1.40000e-01	    5.41792e-02	    1.11016e-01	    2.40510e-03	    4.93910e-03	    1.55560e-03	   -1.27625e-03	    2.41677e-02	    1.25940e-01	    6.27455e-01	    1.00847e-02	    4.62337e-02	    1.24898e-02
    1.34941e-01	    1.40000e-01	    5.43463e-02	    1.11683e-01	    2.46257e-03	    5.19250e-03	    1.53791e-03	   -1.77556e-03	    2.41273e-02	    1.27659e-01	    6.33322e-01	    1.02184e-02	    4.61583e-02	    1.28459e-02
    1.38634e-01	    1.40000e-01	    5.44778e-02	    1.12253e-01	    2.51244e-03	    5.44832e-03	    1.51971e-03	   -2.26749e-03	    2.40796e-02	    1.29407e-01	    6.38588e-01	    1.03395e-02	    4.60572e-02	    1.32029e-02
    1.42331e-01	    1.40000e-01	    5.45765e-02	    1.12728e-01	    2.55487e-03	    5.70545e-03	    1.50207e-03	   -2.74989e-03	    2.40246e-02	    1.31184e-01	    6.43264e-01	    1.04491e-02	    4.59311e-02	    1.35610e-02
    1.46031e-01	    1.40000e-01	    5.46450e-02	    1.13111e-01	    2.59009e-03	    5.96285e-03	    1.48601e-03	   -3.22086e-03	    2.39623e-02	    1.32989e-01	    6.47358e-01	    1.05484e-02	    4.57808e-02	    1.39199e-02
    1.49736e-01	    1.40000e-01	    5.46854e-02	    1.13406e-01	    2.61845e-03	    6.21954e-03	    1.47252e-03	   -3.67875e-03	    2.38925e-02	    1.34819e-01	    6.50880e-01	    1.06383e-02	    4.56074e-02	    1.42795e-02
    1.53444e-01	    1.40000e-01	    5.46998e-02	    1.13614e-01	    2.64034e-03	    6.47459e-03	    1.46247e-03	   -4.12213e-03	    2.38147e-02	    1.36671e-01	    6.53843e-01	    1.07201e-02	    4.54118e-02	    1.46395e-02
    1.57157e-01	    1.40000e-01	    5.46900e-02	    1.13739e-01	    2.65624e-03	    6.72715e-03	    1.45668e-03	   -4.54984e-03	    2.37284e-02	    1.38539e-01	    6.56259e-01	    1.07947e-02	    4.51951e-02	    1.49996e-02
    1.60874e-01	    1.40000e-01	    5.46578e-02	    1.13784e-01	    2.66664e-03	    6.97645e-03	    1.45586e-03	   -4.96090e-03	    2.36333e-02	    1.40419e-01	    6.58142e-01	    1.08631e-02	    4.49585e-02	    1.53591e-02
    1.64595e-01	    1.40000e-01	    5.46047e-02	    1.13751e-01	    2.67210e-03	    7.22177e-03	    1.46063e-03	   -5.35456e-03	    2.35288e-02	    1.42306e-01	    6.59504e-01	    1.09263e-02	    4.47031e-02	    1.57176e-02
    1.68320e-01	    1.40000e-01	    5.45318e-02	    1.13643e-01	    2.67318e-03	    7.46249e-03	    1.47151e-03	   -5.73028e-03	    2.34144e-02	    1.44194e-01	    6.60362e-01	    1.09850e-02	    4.44301e-02	    1.60746e-02
    1.72050e-01	    1.40000e-01	    5.44406e-02	    1.13463e-01	    2.67045e-03	    7.69804e-03	    1.48891e-03	   -6.08766e-03	    2.32895e-02	    1.46077e-01	    6.60730e-01	    1.10400e-02	    4.41407e-02	    1.64292e-02
    1.75785e-01	    1.40000e-01	    5.43319e-02	    1.13213e-01	    2.66451e-03	    7.92794e-03	    1.51318e-03	   -6.42648e-03	    2.31538e-02	    1.47949e-01	    6.60625e-01	    1.10921e-02	    4.38360e-02	    1.67809e-02
    1.79525e-01	    1.40000e-01	    5.42067e-02	    1.12896e-01	    2.65592e-03	    8.15176e-03	    1.54454e-03	   -6.74668e-03	    2.30068e-02	    1.49805e-01	    6.60063e-01	    1.11418e-02	    4.35170e-02	    1.71290e-02
    1.83269e-01	    1.40000e-01	    5.40659e-02	    1.12515e-01	    2.64524e-03	    8.36914e-03	    1.58314e-03	   -7.04832e-03	    2.28481e-02	    1.51638e-01	    6.59060e-01	    1.11898e-02	    4.31851e-02	    1.74728e-02
    1.87019e-01	    1.40000e-01	    5.39101e-02	    1.12073e-01	    2.63301e-03	    8.57978e-03	    1.62907e-03	   -7.33155e-03	    2.26776e-02	    1.53443e-01	    6.57634e-01	    1.12365e-02	    4.28411e-02	    1.78115e-02
    1.90773e-01	    1.40000e-01	    5.37400e-02	    1.11572e-01	    2.61974e-03	    8.78342e-03	    1.68230e-03	   -7.59664e-03	    2.24949e-02	    1.55214e-01	    6.55803e-01	    1.12822e-02	    4.24863e-02	    1.81445e-02
    1.94533e-01	    1.40000e-01	    5.35562e-02	    1.11014e-01	    2.60592e-03	    8.97986e-03	    1.74277e-03	   -7.84396e-03	    2.22999e-02	    1.56946e-01	    6.53582e-01	    1.13274e-02	    4.21215e-02	    1.84711e-02
